"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"10","concernedAbout","In general, I am someone who is concerned about the health consequences of what I eat ","NA","Malek, Lenka and Umberger, Wendy J. and Makrides, Maria and ShaoJia, Zhou","Predicting healthy eating intention and adherence to dietary recommendations during pregnancy in Australia using the Theory of Planned Behaviour.","2017/09/01/","concernedAbout"
"11","concernedAbout"," I am someone who is concerned with ‘healthy eating’ in general","NA","Malek, Lenka and Umberger, Wendy J. and Makrides, Maria and ShaoJia, Zhou","Predicting healthy eating intention and adherence to dietary recommendations during pregnancy in Australia using the Theory of Planned Behaviour.","2017/09/01/","concernedAbout"
"14","concernedAbout"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat …","NA","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016/11/01/","concernedAbout"
"19","concernedAbout"," ‘‘I think of myself as someone who is concerned about ethical issues in consumption’’. ","NA","Chatzidakis, Andreas and Kastanakis, Minas and Stathopoulou, Anastasia","Socio-cognitive determinants of consumers’ support for the fair trade movement.","2016/01//","concernedAbout"
"26","concernedAbout","‘I think of myself as someone who is concerned aboutethical issues’ ","NA","Peluso, Alessandro M.","Psychological drivers in the adoption of morally controversial innovations: The moderating role of ethical self-identity.","2015/07//","concernedAbout"
"29","concernedAbout"," I am concerned with ethical issues","NA","Cheng, Pi-Yueh and Chu, Mei-Chin","Behavioral factors affecting students’ intentions to enroll in business ethics courses: A comparison of the theory of planned behavior and social cognitive theory using self-identity as a moderator.","2014/09//","concernedAbout"
"41","concernedAbout","I think of myself as someone who is concerned about ethical issues ","NA","Dowd, Kylie and Burke, Karena J.","The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods.","2013/10/01/","concernedAbout"
"75","concernedAbout"," “I think of myself as someone who is concerned with green issues”","NA","Dean, Moira and Raats, Monique M. and Shepherd, Richard","The role of self-identity, past behavior, and their interaction in predicting intention to purchase fresh and processed organic food.","2012/03//","concernedAbout"
"95","concernedAbout"," ‘I think of myself as someone who is very concerned with environmental issues ","NA","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010/09//","concernedAbout"
"97","concernedAbout"," ‘I would not want my family or friends to think of me as someone who is concerned about environmental issues’","NA","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010/09//","concernedAbout"
"166","concernedAbout"," “How concerned are you about donating blood? ” ","NA","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001/07//","concernedAbout"
"188","concernedAbout"," `I think of myself as someone who is concerned with healthy eating' ","NA","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999/07//Jul-Aug, 1999","concernedAbout"
"189","concernedAbout"," `I think of myself as someone who is concerned with the health consequences of what I eat' ","NA","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999/07//Jul-Aug, 1999","concernedAbout"
"196","concernedAbout"," `I think of myself as someone who is concerned with ``healthy eating''' ","NA","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999/06//","concernedAbout"
"197","concernedAbout"," `I think of myself as someone who is concerned about the health consequences of what I eat' ","NA","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999/06//","concernedAbout"
"200","concernedAbout"," `I thinkof myself as someone who is concerned with healthy eating’ ","NA","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999/03//","concernedAbout"
"201","concernedAbout"," ` I think of myself as someone who is concerned with the health consequences of what I eat’ ","NA","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999/03//","concernedAbout"
"204","concernedAbout"," “I think of myself as someone who is concerned with healthy. eating”; ","NA","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999/01//","concernedAbout"
"205","concernedAbout"," “I think of myself as someone who is concerned with the health consequences of what I eat” ","NA","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999/01//","concernedAbout"
"208","concernedAbout","“I think of myself as the sort of person who is concerned about the long-term health effects of my food choices” ","NA","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998/08//","concernedAbout"
"211","concernedAbout","""I think of myself as someone who is concerned about the health consequences of what I eat"" ","NA","Sparks, Paul and Shepherd, Richard and Wieringa, Nicole and Zimmermanns, Nicole","Perceived behavioural control, unrealistic optimism and dietary change: An exploratory study,.","1995/06//","concernedAbout"
"222","concernedAbout"," I think of myself as someone who is very concerned with 'green issues","NA","Sparks, Paul and Shepherd, Richard","Self-identity and the theory of planned behavior: Assessing the role of identification with 'green consumerism.'","1992/12//","concernedAbout"
"235","concernedAbout","I think of myself as someone who is very concerned with dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","concernedAbout"
"236","concernedAbout"," I think of myself as the sort of person who is concerned about the long-term effects of supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","concernedAbout"
